Cylinders,Engine Size(L),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
8,5.6,10.2,12.9,22,297
6,3.5,6.9,7.5,38,172
6,3.7,9.7,11.9,24,274
6,3.5,8.5,10.1,28,232
6,3.5,8.9,10.7,26,246
4,2.5,8.4,8.7,32,200
6,3.7,10.7,12.8,22,294
8,5.6,11.9,14.7,19,338
6,3,8.4,10.3,27,237
6,3,8.4,10.3,27,237
6,3,8.7,10.6,27,244
6,3,8.7,10.6,27,244
8,5,10.2,12.8,22,294
8,5,10.2,12.8,22,294
4,2,8.2,10.5,27,242
6,3,8.8,11.6,24,267
8,5,10.3,13.2,21,304
8,5,14.1,18.1,16,290
8,5,10.3,13.2,21,304
6,3,9.6,12.4,23,285
8,5,10.2,13.3,21,306
8,5,13.6,17.5,16,280
6,3,9.6,12.5,23,288
8,5,10.2,13.3,21,306
8,5,13.6,17.5,16,280
8,5,10.2,13.3,21,306
8,5,10.2,13.3,21,306
8,5,10.9,13.6,21,313
8,5,10.9,13.4,21,308
8,5,10.9,13.6,21,313
8,5,10.9,13.4,21,308
4,2.4,7.7,9.5,30,218
4,2.4,7.7,9.5,30,218
4,2.4,10.2,12.9,22,206
6,3.2,8.1,9.9,29,228
4,2.4,8.3,10,28,230
4,2.4,8.3,10,28,230
4,2.4,11,13.7,21,219
6,3.2,8.5,10.2,28,235
4,2.4,8.6,10.1,28,232
6,3.2,8.9,10.9,26,251
4,2.4,9.4,10.9,26,251
6,3.2,9,10.8,26,248
4,2,8.8,9.9,29,228
4,2,7.8,9.2,31,212
4,2.4,8.6,10,28,230
4,2.4,8.2,9.3,30,214
4,2.4,8.7,10.2,28,235
4,2.4,8.6,9.7,29,223
4,2.4,10.3,11.1,25,255
6,3,8.4,9.9,29,267
6,3.6,9.8,12.1,23,278
6,3.6,13,15.6,18,250
8,5.7,11.5,14.7,19,338
8,6.4,12.6,15.8,18,363
4,2,8.8,9.9,29,228
4,2,7.8,9.2,31,212
4,2.4,8.6,10,28,230
4,2.4,8.2,9.3,30,214
4,2.4,8.7,10.2,28,235
4,2.4,8.6,9.7,29,223
4,2.4,10.3,11.1,25,255
4,1.4,7.5,8.8,32,202
4,2.4,7.7,9.4,30,216
4,2.4,9.9,12.2,23,195
4,1.4,7.5,8.8,32,202
4,2.4,8,9.8,29,225
6,3.6,11.1,12.8,22,294
6,3.6,11,12.8,22,294
6,3.6,11.7,13.4,21,308
6,3.6,11.4,13.4,21,308
6,3.3,8.4,10.7,26,246
4,1.8,6.1,7.6,37,175
4,1.8,6.3,7.9,36,182
4,2,6.7,8.3,34,191
4,2,6.9,8.5,33,196
4,1.6,8,9.7,29,223
4,1.6,8.2,9.8,29,225
4,2,7.2,8.5,33,196
4,2,6.9,8.4,34,193
4,1.6,7.8,9.4,30,216
4,1.6,8.1,9.6,29,221
4,2,7.1,8.6,33,198
4,2,7.4,8.8,32,202
6,3.8,8.9,11.3,25,260
8,5,10.3,13.3,21,306
4,2,7.7,9.9,29,228
4,2.4,6.9,8.7,32,200
4,2.4,5.9,6.3,45,145
4,2.4,6.1,6.4,44,147
4,1.6,6.3,7.7,37,177
4,1.6,6.4,7.7,37,177
4,1.6,6.3,7.6,37,175
4,2,7.6,9.3,30,214
4,2,7.4,9.3,30,214
6,3.3,9.7,11.6,24,267
6,3.3,9.5,11.4,25,262
6,3.3,10.5,12.5,23,288
4,2.4,8.7,10.4,27,239
6,3.3,9,11.1,25,255
4,2.4,9.4,10.9,26,251
6,3.3,10,11.8,24,271
4,1.6,7.8,8.9,32,205
4,1.6,7.8,9,31,207
4,2,7.7,9,31,207
4,2,7.7,8.8,32,202
4,2.4,8.3,10,28,230
4,2.4,9.2,11.3,25,260
4,2,9.7,11.3,25,260
4,2.4,9.1,10.7,26,246
12,6.5,12.7,17.9,16,412
12,6.5,14.5,19.7,14,453
10,5.2,11.7,14.5,19,334
12,6.5,13.9,18.4,15,423
4,2,9.9,11.9,24,274
6,3,12.1,14.3,20,329
6,3,10.4,12.3,23,283
8,5,12.5,15.1,19,347
8,5,16.9,21.4,13,342
8,5,12.5,15.1,19,347
8,5,16.9,21.4,13,342
4,2,7.9,9.7,29,223
4,2,7.9,9.7,29,223
6,3,10.5,12.4,23,285
8,5,12.3,14.7,19,338
8,5,16.6,20.7,14,331
4,1.8,5.9,5.7,50,131
4,2.5,6.1,5.9,48,136
6,3.5,7.5,9.6,29,221
6,3.5,8.5,10.6,27,244
6,3.5,9.1,11,26,253
6,3.5,6.9,7.5,38,172
8,4.6,11.7,13.9,20,320
6,2.5,7.8,9.6,29,221
6,2.5,8.7,10.4,27,239
6,2.5,7.8,9.6,29,221
6,3.5,8.5,10.6,27,244
6,3.5,9.1,11,26,253
6,3.5,8.7,10.6,27,244
8,4.6,9.6,12.3,23,283
8,4.6,10.2,12.9,22,297
8,4.6,10.2,12.9,22,297
8,5,10.1,11.5,25,264
8,5.7,13.6,16.6,17,382
4,2,8.4,9.6,29,221
4,2,8.8,9.9,29,228
4,2.5,7.7,7.4,38,170
6,3.5,8.5,10.6,27,244
6,3.5,9.1,11,26,253
8,5,9.5,12.6,22,290
6,3.5,9.8,11.7,24,269
6,3.5,9.1,11.1,25,255
6,3.5,8.5,8.2,34,189
4,2,9,10.9,26,251
4,2.3,9.2,11.2,25,258
6,3.5,9.5,11.9,24,274
6,3.7,9,11.2,25,258
6,3.5,10.4,12.8,22,294
4,2,8.4,10.1,28,232
6,3.7,10,12.2,23,281
6,3.7,10.3,12.1,23,278
4,2,7,8.9,32,205
6,3.7,9.2,11.3,25,260
4,2,6,5.8,49,133
6,3.5,11.8,14.2,20,327
6,3.5,12.3,14.4,20,331
6,3,9.6,12.7,22,292
6,3,9.5,12.8,22,294
8,4.7,11.4,15.1,19,347
8,4.7,11.6,15.2,19,350
8,3.8,10.7,14.5,19,334
6,3,9.7,13,22,299
4,2,7.3,8.2,34,189
4,2,6.8,8,35,184
4,2.5,7.4,8.6,33,198
4,2,7.6,8.5,33,196
4,2.5,7.9,9,31,207
6,3.7,10,12.3,23,283
6,3.7,10.6,12.7,22,292
4,2,5.7,6.9,41,159
4,2,5.8,7,40,161
4,2.5,6.1,7.4,38,170
4,2.5,5.9,7.2,39,166
4,2.5,6.4,8,35,184
4,2,5.9,7,40,161
4,2,5.9,7.1,40,163
4,2.5,6.5,7.7,37,177
4,2.5,6,7.2,39,166
4,2.5,6.6,8.1,35,186
4,2.5,8.2,9.6,29,221
4,2.5,8.3,9.8,29,225
4,2.5,6.1,7.6,37,175
4,2.5,6.4,8.1,35,186
4,2.5,5.9,7.3,39,168
4,2,8.5,10.1,28,232
4,2,8.5,9.6,29,221
4,2,8.4,9.9,29,228
4,2,6.6,8,35,184
4,2,7.5,8.9,32,205
4,1.8,7.5,9.4,30,216
4,2,7.8,9,31,207
6,3.5,8.7,10.6,27,244
6,3.5,8.6,10.5,27,242
6,3,8.4,9.9,29,228
8,6.2,12.3,15.4,18,354
4,2,6.4,8.1,35,186
4,2,7.4,8.8,32,202
4,2,7.7,9.1,31,209
6,3,8.5,10.5,27,242
8,4.7,10.1,12.5,23,288
8,5.5,10.8,13.1,22,301
4,2.1,5.9,7.4,38,200
6,3.5,8.2,10.2,28,235
6,3,8.5,10.4,27,239
6,3.5,8.8,10.8,26,248
6,3.5,8.1,10,28,230
6,3.5,8.3,10.2,28,235
8,4.7,9.6,11.4,25,262
8,4.7,9.2,11.7,24,269
8,4.7,8.9,11.4,25,262
8,5.5,10.8,13.3,21,306
8,5.5,11,13.3,21,306
8,5.5,16.1,18.2,16,419
8,5.5,16.6,18.5,15,426
6,3,10,12,24,324
6,3,12.6,14,20,322
8,4.7,13.2,15.6,18,359
8,5.5,14,16.3,17,375
4,2,7.4,8.7,32,200
4,2,8.1,9.4,30,216
4,2.1,7,8.5,33,230
6,3.5,9.6,11.2,25,258
6,3,8.5,10.3,27,278
6,3,10.4,12,24,276
8,4.7,11.8,14.2,20,327
8,5.5,13.5,15.6,18,359
6,4.7,8.6,10.8,26,248
8,4.7,9.8,12.3,23,283
8,4.7,9.8,12.5,23,288
8,4.7,9.1,12.2,23,281
12,6,11,14.9,19,343
8,5.5,10.1,13.2,21,304
8,5.5,10.1,13.2,21,304
12,6,11.8,15.5,18,357
12,6,11.3,15,19,345
8,4.7,9.5,11.9,24,274
8,5.5,9.5,12.4,23,285
12,6,11.2,14.2,20,327
4,1.8,7.2,9,31,207
4,1.8,7.2,9,31,207
6,3.5,8.1,9.8,29,225
8,5.5,8.5,10.6,27,244
8,6.2,12.6,15.6,18,359
8,6.2,12.6,15.6,18,359
3,1.5,6.3,7.5,38,172
3,1.5,5.9,7.1,40,163
3,1.5,6.3,7.5,38,172
3,1.5,5.9,7.2,39,166
4,1.6,6.5,7.7,37,177
4,1.6,6.4,7.5,38,172
4,1.6,7.9,8.7,32,200
4,1.6,6.4,7.5,38,172
4,1.6,6.5,7.6,37,175
4,1.6,6.4,7.3,39,168
4,1.6,7.9,8.7,32,200
4,1.6,6.4,7.5,38,172
4,1.6,6.5,7.7,37,177
4,1.6,6.4,7.5,38,172
4,2,7,8.2,34,189
4,2,7,8.6,33,198
4,2,7,8.2,34,189
4,2,7,8.6,33,198
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,1.6,7.8,9,31,207
4,1.6,7.7,8.7,32,200
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,1.6,7.8,9,31,207
4,1.6,7.7,8.7,32,200
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,2,7.3,8.4,34,193
4,2,7.7,9.2,31,212
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,1.6,7.8,9,31,207
4,1.6,7.7,8.7,32,200
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,1.6,7.8,9,31,207
4,1.6,7.7,8.7,32,200
4,1.6,6.8,8.1,35,186
4,1.6,6.8,8.1,35,186
4,2,6.9,8.2,34,189
4,2,6.9,8.4,34,193
4,2.4,8.2,9.5,30,219
4,2,10.5,12.5,23,288
4,2,10.3,12.3,23,283
4,2,9.4,11.6,24,267
4,2,7.3,8.6,33,198
4,2,7.1,8.6,33,198
3,1.2,5.3,5.9,48,136
3,1.2,5.5,6.4,44,147
4,2.4,7.5,8.6,33,198
4,2.4,8.1,9.1,31,209
6,3,8.4,10.1,28,232
4,2,7.3,8.4,34,193
4,2,7.6,8.8,32,202
4,2,7.7,8.8,32,202
4,2.4,8.5,9.6,29,221
6,3.7,9.2,11.1,25,255
6,3.7,9.3,11.5,25,264
6,3.7,9.6,11.5,25,264
6,3.7,9.7,11.8,24,271
4,2.5,6.2,7.6,37,175
6,3.5,7.4,9,31,207
8,5.6,13.4,16.6,17,382
4,2.5,10.6,12.3,23,283
4,2.5,10.2,11.3,25,260
6,4,10.3,12.7,22,292
6,4,11.3,13.7,21,315
6,4,11.2,13.3,21,306
6,3.8,10.5,12.6,22,290
4,1.6,7.2,7.9,36,182
4,1.6,6.9,7.7,37,177
4,1.6,7.5,8.2,34,189
4,1.6,7.5,8.3,34,191
4,1.6,8.1,8.8,32,202
4,1.6,6.6,7.8,36,179
4,1.6,6.6,7.7,37,177
6,3.5,8.2,9.8,29,225
6,3.5,8.3,9.9,29,228
4,2,9,9.4,30,216
6,3.5,8.6,10.4,27,239
6,3.5,8.9,10.7,26,246
6,3.5,9,11,26,253
4,2.5,8.5,8.8,32,202
6,3.5,8.7,10.5,27,242
4,2.5,7.2,8.3,34,191
4,2.5,7.4,8.5,33,196
8,5.6,13.3,16.1,18,370
8,5.6,14.3,17.2,16,396
4,1.8,6.1,7.2,39,166
4,1.8,6.6,7.9,36,182
4,1.6,6,6.8,42,156
4,1.6,6.5,7.7,37,177
6,4,12,14.2,20,327
6,4,12.3,14.4,20,331
6,3.4,8.4,10.1,28,232
6,3.4,8.6,10.6,27,244
6,3.4,8.3,10.1,28,232
6,3.4,8.7,10.7,26,246
6,3.4,8.5,10.2,28,235
6,3.4,8.7,10.7,26,246
6,3.4,8.7,10.5,27,242
6,3.4,9,10.9,26,251
6,3.8,9.2,11.1,25,255
6,3.8,9.2,11.3,25,260
6,3.8,9.4,11.4,25,262
6,3.8,9.3,11.6,24,267
6,3.8,8.9,10.7,26,246
6,3.8,8.9,11,26,253
6,3.8,9,11,26,253
6,3.8,9.2,11.2,25,258
6,3.8,9,11,26,253
6,3.8,9,11.2,25,258
6,3.8,9.2,11.1,25,255
6,3.8,9.3,11.6,24,267
6,3.8,8.7,10.5,27,242
6,3.8,8.7,10.7,26,246
6,3.8,8.7,10.6,27,244
6,3.8,8.9,10.9,26,251
6,3.8,11.5,14,20,322
6,3.4,8.9,10.8,26,248
6,3.4,9,11.1,25,255
6,3.8,9.3,11.2,25,258
6,3.8,9.2,11.4,25,262
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,2.7,7.4,9.2,31,212
6,2.7,7.9,9.9,29,228
6,3.4,7.7,9.5,30,218
6,3.4,8.9,10.7,26,246
6,3.4,7.9,9.8,29,225
6,3.4,8.6,10.4,27,239
6,3,8.1,10.2,28,277
6,3.6,9.6,12.2,23,286
8,4.8,11.2,14.2,20,327
6,2.7,7.4,9.2,31,212
6,2.7,7.9,9.9,29,228
6,3.4,7.7,9.5,30,218
6,3.4,8.9,10.7,26,246
6,3.4,7.9,9.8,29,225
6,3.4,8.6,10.4,27,239
6,3,10.3,12.2,23,281
6,3.6,10.1,12.3,23,283
6,3.6,8.4,10.9,26,251
6,3.6,8.7,11.1,25,255
6,3,8.8,11.4,25,262
6,3,8.9,11.5,25,264
8,4.8,9.7,12.7,22,292
6,3,8.8,11.4,25,262
8,4.8,9.7,12.8,22,294
8,4.8,9.8,12.9,22,297
8,4.8,9.7,12.8,22,294
8,4.8,9.8,12.9,22,297
6,3.6,9.5,11.9,24,274
6,3.6,9.5,11.9,24,274
6,3.6,13.6,16.8,17,269
6,3.6,9.3,11.3,25,260
8,5.7,12,14.8,19,340
8,5.7,10.9,13.6,21,313
6,3,8.4,10.1,28,273
6,3,8,9.8,29,265
6,3.6,10.1,12.6,22,290
6,3.6,10.1,12.6,22,290
6,3.6,14.5,17.8,16,285
8,5.7,12.7,15.4,18,354
8,5.7,11.5,14.1,20,324
6,3,8.8,10.6,27,286
6,3.6,9.1,11.4,25,262
6,3.6,12.7,15.9,18,254
4,2.4,8.1,9.8,29,225
12,6.6,12.4,16.1,18,370
12,6.6,12.4,16.1,18,370
12,6.7,12.7,17.2,16,396
12,6.7,12.9,17.2,16,396
12,6.7,12.7,17.2,16,396
12,6.7,12.9,17.2,16,396
12,6.6,11.8,15.6,18,359
4,2,7,8.4,34,193
4,2,7.9,9.6,29,221
4,1.3,6.3,6.4,44,147
4,2.5,7.6,9,31,207
4,2.5,7.7,9,31,207
4,2.4,8.5,9.8,29,225
4,2.4,8.5,9.8,29,225
3,1,6.2,6.5,43,150
3,1,6.2,6.5,43,150
4,2,7,8.4,34,193
4,2,7.9,9.6,29,221
4,2,8.5,9.4,30,216
4,2.5,7.5,8.7,32,200
4,2.5,8.4,9.6,29,221
4,2,6.4,7.6,37,175
4,2,7,8.4,34,193
4,2,6.4,7.6,37,175
4,2,7,8.4,34,193
4,2.5,6.5,7.9,36,182
4,2.5,7.8,9.4,30,216
6,3.6,8.2,10.2,28,235
4,2.5,7.1,8.3,34,191
4,2.5,8.2,9.7,29,223
6,3.6,8.6,10.5,27,242
4,2,9.4,11.1,25,255
4,2,8.3,9.8,29,225
4,2.5,10.2,12.2,23,281
4,2,7,8.1,35,186
4,2,7.7,9.1,31,209
4,2,6.9,7.5,38,173
6,4,11.1,12.8,22,294
6,4,11.1,12.8,22,294
6,3.5,7.5,9.6,29,221
4,2.5,6.9,8.4,34,193
6,3.5,7.7,9.5,30,218
4,2.5,6,5.7,50,131
4,2.5,6.1,5.9,48,136
4,1.8,6.5,7.6,37,175
4,1.8,6.1,7.1,40,163
4,1.8,6.2,7.3,39,168
4,1.8,6.2,7.4,38,170
4,1.8,5.6,6.8,42,156
4,1.8,6,6.9,41,159
4,2.7,9.5,10.7,26,246
6,3.5,9.3,11.1,25,255
6,3.5,9.8,11.6,24,267
6,3.5,8.5,8.5,33,196
6,3.5,8.3,8.4,34,193
4,1.8,4.9,4.7,60,108
4,1.5,5.1,4.8,59,110
4,1.8,5.8,5.6,50,129
4,2.5,7.6,8.9,32,205
4,2.5,8.2,9.5,30,218
4,2.5,7.6,8.9,32,205
4,2.5,8.3,9.6,29,221
8,5.7,14,16.6,17,382
6,3.5,9.5,11.4,25,262
6,3.5,10.2,12.5,23,288
4,2.7,9.9,11.2,25,258
4,2.7,9.5,10.5,27,242
6,4,11.3,13.1,22,301
4,2.7,11.3,12.3,23,283
4,2.7,11.5,12.3,23,283
6,4,11.6,13.4,21,308
6,4,12.3,14,20,322
8,4.6,12.3,14.3,20,329
8,5.7,12.8,15.2,19,350
8,4.6,12.8,15.1,19,347
8,5.7,14.2,16.6,17,382
4,2.7,9,10.4,27,239
6,3.5,9,10.9,26,251
4,2.7,9.2,10.5,27,242
6,3.5,9.3,11.3,25,260
4,1.5,6.6,7.3,39,168
4,1.5,6.3,7.1,40,163
4,1.8,7.2,8.5,33,196
4,1.8,7.2,8.7,32,200
4,2,7.9,9.1,31,209
4,2,7.7,9.2,31,212
4,2,5.7,6.9,41,183
4,2,5.7,6.9,41,184
4,1.8,7.3,8.7,32,200
4,2,8.2,9.4,30,216
4,2,7.7,9.2,31,212
4,2,7.7,9.3,30,214
4,2,7.4,9.6,29,221
6,3.6,9.3,11.8,24,271
4,2,7.8,9.5,30,219
4,1.8,6.5,8.1,35,186
4,1.8,6.4,8,35,184
4,2,5.5,6.5,43,177
4,2,5.2,6.5,43,178
4,2,7.2,8.5,33,196
4,2,6.9,8.3,34,191
4,1.8,6.8,8.2,34,193
4,1.8,6.6,8.2,34,189
4,2,5.6,6.7,42,180
4,2,5.5,6.7,42,179
4,1.8,6.3,7.9,36,182
4,1.8,6.3,8,35,184
4,2,7,8.9,32,205
4,2,6.9,8.4,34,193
4,2,5.2,6.5,43,175
4,2,5.1,6.5,43,176
4,2,7.3,8.8,32,202
4,2,7.2,8.9,32,205
4,1.4,4.9,5.3,53,122
4,1.8,6.6,8.3,34,191
4,1.8,6.7,8.4,34,193
4,2,5.6,6.9,41,185
4,2,5.3,6.7,42,182
6,3.6,8.5,10.4,27,239
4,2,9.3,10.5,27,242
4,2,9,11.2,25,258
4,2,9.4,10.7,26,246
6,3.6,10.4,12.4,23,292
6,3,8.1,10.2,28,277
6,3,8.9,11,26,253
4,2,6.6,8.4,34,193
5,2.5,8.2,10.1,28,232
4,2,7.3,8.9,32,205
6,3,9,11.2,25,258
4,2,6.6,8.4,34,193
6,3,9,11.2,25,258
4,2,7.6,8.8,32,202
5,2.5,8.5,10.3,27,237
6,3,8.9,11,26,253
4,2,6.6,8.4,34,193
5,2.5,8.2,10.1,28,232
6,3,9,11.2,25,258
6,3.2,9.5,11.5,25,264
4,2,7.6,8.8,32,202
5,2.5,9.4,11.4,25,262
4,2,7.8,9.4,30,216
6,3,9.9,11.9,24,274
6,3.2,9.1,11.3,25,260
4,2,7.6,8.8,32,202
6,3,9.9,11.9,24,274
4,2.4,6.6,8.1,35,189
6,3.5,9.1,11.1,25,254
6,3.5,9.1,10.7,26,251
6,3.5,8.6,10.7,26,249
6,3.5,7.7,10,28,235
6,3.5,7.5,7.7,37,180
4,2.4,6.6,8.3,34,196
6,3.5,7.5,9.6,29,226
4,1.8,6.9,8.4,34,197
12,5.9,12.6,15.6,18,365
12,6,10.9,14.2,20,332
12,6,11.4,14.8,19,346
8,4.7,11.3,14.7,19,343
8,4.7,12.3,15.5,18,362
8,4.7,11.3,14.7,19,343
8,4.7,12.3,15.5,18,362
8,4.7,11.3,14.7,19,343
8,4.7,12.3,15.5,18,362
12,6,12.8,16.5,17,390
4,1.8,7.1,8.7,32,204
4,2,7.2,8.6,33,201
4,2,7.5,8.9,32,208
4,2,7.6,8.9,32,212
4,2,7.8,9.6,29,224
4,2,7.3,9.1,31,214
4,2,8.4,9.9,29,232
4,2,7.8,9.6,29,224
4,2,7.3,9.1,31,214
4,2,8,9.8,29,230
4,2,7.3,9.2,31,211
6,3,7.9,9.9,29,232
6,3,6.2,7.8,36,213
6,3,7.9,9.9,29,232
6,3,6.2,7.8,36,213
6,3,8,10.5,27,247
8,4,8,10.7,26,249
6,3,6.5,8.4,34,224
8,4,8.3,10.9,26,255
12,6.3,10.8,14.6,19,344
4,2,8.2,10.3,27,242
4,2,8.4,10.3,27,240
4,2,8.5,10.4,27,244
6,3,9.2,11.4,25,267
6,3,7.8,9,31,244
4,2,7.9,8.9,32,209
8,4,9.4,13.3,21,313
4,2,7.7,9,31,211
6,3,8.5,11,26,257
6,3,9,11.7,24,273
6,3,8.5,11,26,257
6,3,9,11.7,24,273
6,3,9.1,11.4,25,266
8,4,8.8,11.3,25,263
8,4,8.8,11.4,25,265
8,4,9.4,12.8,22,300
6,3,9.9,12.2,23,285
4,2,7.8,9.1,31,209
4,2,7.8,9.1,31,209
4,2,8.6,9.5,30,222
8,4,9.4,13.1,22,307
12,6,11.2,15.4,18,360
8,4,10.3,14.4,20,337
12,6,11.7,16,18,375
8,4,10,14.2,20,334
12,6,11.9,16.5,17,388
8,6.8,13.1,17.5,16,408
4,2,6.5,8.4,34,197
4,2,7,9,31,211
4,2,6.8,8.8,32,207
4,2,6.9,8.9,32,209
4,2,6.5,8.4,34,197
4,2,7,9,31,211
4,2,6.8,8.8,32,207
4,2,5.7,6.8,42,183
4,2,5.7,6.8,42,183
4,2,6.9,8.9,32,209
4,2,6.9,8.9,32,209
4,2,6.9,8.9,32,209
6,3,7.9,10.2,28,238
6,3,7.2,9.3,30,217
6,3,7.8,9.9,29,231
6,3,7.3,9.3,30,216
6,3,8.3,10.3,27,241
4,2,6.7,8.9,32,211
4,2,6.5,8.4,34,197
4,2,7,9,31,211
4,2,6.7,8.9,32,211
4,2,6.8,9,31,210
4,2,7.1,9.4,30,221
4,2,6.9,8.9,32,209
4,2,6.9,8.9,32,209
6,3,7.6,9.9,29,232
6,3,7.7,9.9,29,232
6,3,8.4,10.5,27,246
6,3,8.1,10.2,28,238
6,3,7.9,10.2,28,238
6,3,8.4,10.5,27,247
6,3,7.9,10.2,28,238
4,2,6.9,8.9,32,209
6,3,6.3,7.9,36,212
6,3,8.1,10.2,28,238
6,3,9.1,11.2,25,263
8,4.4,9.6,12.3,23,288
8,4.4,9.3,12.1,23,283
6,3,8.1,10.2,28,238
6,3,8.1,10.2,28,238
8,4.4,9.3,12.1,23,283
8,4.4,9.6,12.3,23,288
8,4.4,9.3,12.1,23,283
8,4.4,9.3,12.1,23,283
8,4.4,9.3,12.1,23,283
6,3,7.9,9.4,30,219
8,4.4,9.3,12.1,23,283
6,3,8.8,10.4,27,244
6,3,9.2,11.1,25,260
6,3,7.7,9.9,29,232
6,3,8.6,10.4,27,245
6,3,7.7,9.9,29,232
6,3,8.4,10.5,27,246
6,3,7.9,10.2,28,238
6,3,7.9,10.2,28,238
6,3,9.7,12.1,23,284
6,3,9,11.6,24,271
6,3,9.6,12.1,23,282
6,3,9,11.8,24,278
6,3,9.7,12.1,23,284
6,3,9,11.6,24,271
8,4.4,11.5,14.7,19,344
8,4.4,10.9,13.7,21,321
8,4.4,11.5,14.7,19,344
8,4.4,10.9,13.7,21,321
8,4.4,11.5,14.7,19,344
8,4.4,10.9,13.7,21,321
8,4.4,11.5,14.7,19,344
8,4.4,10.9,13.7,21,321
4,2,7.4,9.2,31,215
4,2,6.9,7.9,36,211
4,2,8.4,9.9,29,231
6,3,8.8,10.9,26,257
6,3,9.5,11.3,25,264
4,2,8.4,10.2,28,238
6,3,8.8,10.9,26,257
8,4.4,12.1,14.6,19,343
6,3,7.6,8.9,32,233
6,3,9.7,11.5,25,269
8,4.4,11.4,13.8,20,322
8,4.4,12.1,14.6,19,343
6,3,9.7,11.5,25,269
8,4.4,11.4,13.8,20,322
4,2,7.1,9.1,31,212
4,2,7,9,31,211
6,3,10,12.1,23,282
6,3,10,12.1,23,282
6,3.6,10.6,13.4,21,315
6,3.6,10.8,13.7,21,323
4,1.4,7.2,8.5,33,199
4,1.4,8,9.2,31,215
4,1.4,6.9,7.8,36,182
4,1.4,7.4,8.2,34,192
4,2,9.1,10.6,27,248
6,3.6,8.6,11.4,25,268
6,3.6,12.4,15.8,18,260
4,2.4,6.5,8.2,34,193
6,3.6,9,11.7,24,274
6,3.6,12.5,15.8,18,263
4,2,7.9,9.8,29,231
4,2,7.6,9.8,29,230
4,2.4,6.5,8.2,34,193
4,2,8.7,10.7,26,252
4,2,7.9,9.8,29,231
4,2,7.6,9.8,29,230
4,2.4,7.4,9.6,29,224
4,2,7.6,9.2,31,215
4,2,8.1,10.3,27,240
4,2.5,7.3,9.1,31,214
6,3.6,7.9,9.9,29,233
4,2,7.8,9.4,30,221
6,3.6,8.5,10.5,27,247
6,3.6,9.8,12.5,23,293
6,3.6,10.2,12.4,23,289
4,2,7.6,9.5,30,222
6,3,9,11.2,25,263
6,3.6,8.7,11,26,257
4,2,7.6,9.5,30,221
6,3.6,7.9,9.9,29,233
4,2,8.1,9.8,29,229
6,3.6,8.5,10.5,27,247
6,3.6,9.8,12.5,23,293
8,6.2,11.1,14.1,20,332
8,6.2,11.2,13.9,20,325
6,3.6,9.8,12.3,23,287
6,3.6,10.4,12.8,22,300
6,3.6,8.6,11.3,25,263
6,3.6,8.9,11.6,24,273
6,3.6,10.2,12.8,22,302
4,2,7.5,9.3,30,218
4,2,7.9,9.8,29,229
6,3.6,8.5,10.6,27,248
6,3.6,8.7,11.2,25,261
8,6.2,8.4,11.6,24,272
8,6.2,9.4,12.1,23,284
4,2,9,9.4,30,220
4,2.5,8.9,10.5,27,247
4,2.5,9.1,10.8,26,253
4,2.8,7.7,9.4,30,252
6,3.6,9.2,11.3,25,265
4,2.5,9.6,11.3,25,265
4,2.8,8.2,10.3,27,277
6,3.6,9.9,11.9,24,279
8,6.2,8.1,11.7,24,275
8,6.2,8.2,11.2,25,263
8,6.2,10.2,14.3,20,335
8,6.2,10.6,13.4,21,313
4,1.4,5.6,6.8,42,159
4,1.4,5.8,7.1,40,167
4,1.4,5.9,6.9,41,160
4,1.4,6.3,7.8,36,184
4,1.4,6.2,7.8,36,182
4,1.8,6.8,8.8,32,207
4,1.8,6.6,8.1,35,190
4,1.4,6.1,7.7,37,181
4,1.4,5.6,7.1,40,167
4,2.4,7.3,9.1,31,214
6,3.6,9.5,12.1,23,285
4,2.4,7.3,9.1,31,214
4,2.4,10.8,13.4,21,221
4,2.4,8.2,10,28,235
6,3.6,10.1,12.8,22,300
4,2.4,8.2,10,28,235
4,2.4,11.6,14.2,20,236
8,6,14.9,18.8,15,441
8,6,16,19.8,14,465
4,2.5,7.5,9.2,31,215
6,3.6,8.2,10.6,27,248
6,3.6,11.5,14.5,19,239
6,3.6,9.3,11.9,24,272
6,3.6,9.5,12.7,22,213
4,1.5,6.3,7.6,37,179
4,2,7.1,9,31,211
4,2.5,7,8.6,33,202
4,1.8,5.1,5.1,55,122
8,5.3,10.4,12.7,22,298
8,6.2,11.4,14,20,328
6,4.3,10,11.9,24,280
6,4.3,14.4,17.1,17,284
8,5.3,10.4,12.7,22,298
8,5.3,14,17.2,16,286
8,5.3,10.7,13.1,22,307
8,6.2,11.6,14.2,20,332
6,4.3,10.7,12.6,22,296
6,4.3,15.3,18.1,16,301
8,5.3,10.7,13.1,22,306
